x,y,zone,n_polygons,landed_in,defect,source
33.75,137.5,paint,1,mid_center,disagreement,grid
34,137.5,paint,1,mid_center,disagreement,grid
34.25,137.5,paint,1,mid_center,disagreement,grid
34.5,137.5,paint,1,mid_center,disagreement,grid
34.75,137.5,paint,1,mid_center,disagreement,grid
35,137.5,paint,1,mid_center,disagreement,grid
35.25,137.5,paint,1,mid_center,disagreement,grid
35.5,137.5,paint,1,mid_center,disagreement,grid
35.75,137.5,paint,1,mid_center,disagreement,grid
36,137.5,paint,1,mid_center,disagreement,grid
36.25,137.5,paint,1,mid_center,disagreement,grid
36.5,137.5,paint,1,mid_center,disagreement,grid
36.75,-15.75,rim,1,paint,disagreement,grid
36.75,15.75,rim,1,paint,disagreement,grid
36.75,137.5,paint,1,mid_center,disagreement,grid
37,137.5,paint,1,mid_center,disagreement,grid
37.25,137.5,paint,1,mid_center,disagreement,grid
37.5,137.5,paint,1,mid_center,disagreement,grid
37.75,137.5,paint,1,mid_center,disagreement,grid
38,137.5,paint,1,mid_center,disagreement,grid
38.25,137.5,paint,1,mid_center,disagreement,grid
38.5,137.5,paint,1,mid_center,disagreement,grid
38.75,137.5,paint,1,mid_center,disagreement,grid
39,137.5,paint,1,mid_center,disagreement,grid
39.25,137.5,paint,1,mid_center,disagreement,grid
39.5,-6.25,rim,1,paint,disagreement,grid
39.5,6.25,rim,1,paint,disagreement,grid
39.5,137.5,paint,1,mid_center,disagreement,grid
39.75,137.5,paint,1,mid_center,disagreement,grid
40,137.5,paint,1,mid_center,disagreement,grid
40.25,137.5,paint,1,mid_center,disagreement,grid
40.5,137.5,paint,1,mid_center,disagreement,grid
40.75,137.5,paint,1,mid_center,disagreement,grid
41,137.5,paint,1,mid_center,disagreement,grid
41.25,137.5,paint,1,mid_center,disagreement,grid
41.5,137.5,paint,1,mid_center,disagreement,grid
41.75,137.5,paint,1,mid_center,disagreement,grid
42,137.5,paint,1,mid_center,disagreement,grid
42.25,137.5,paint,1,mid_center,disagreement,grid
42.5,137.5,paint,1,mid_center,disagreement,grid
42.75,137.5,paint,1,mid_center,disagreement,grid
43,137.5,paint,1,mid_center,disagreement,grid
43.25,137.5,paint,1,mid_center,disagreement,grid
43.5,137.5,paint,1,mid_center,disagreement,grid
