season,ACTION_TYPE,creation_family,finish_family,shots,share
2024-25,Step Back Jump shot,pull_up_or_self_created,step_back,12361,0.056307424599252025
2024-25,Tip Dunk Shot,putback,dunk,839,0.0038218533483352843
2024-25,Tip Layup Shot,putback,layup,4867,0.02217039361900814
2024-25,Turnaround Bank Hook Shot,other_or_unknown,hook,239,0.0010887043507176793
2024-25,Turnaround Bank shot,other_or_unknown,fadeaway_or_turnaround,243,0.0011069253440351302
2024-25,Turnaround Fadeaway Bank Jump Shot,other_or_unknown,fadeaway_or_turnaround,102,4.6463532959499287e-4
2024-25,Turnaround Fadeaway shot,other_or_unknown,fadeaway_or_turnaround,3271,0.01490021728534531
2024-25,Turnaround Hook Shot,other_or_unknown,hook,2401,0.010937151238799783
2024-25,Turnaround Jump Shot,other_or_unknown,fadeaway_or_turnaround,2268,0.010331303210994547
2025-26,Alley Oop Dunk Shot,drive_cut_or_roll,dunk,1692,0.0077203869319218835
2025-26,Alley Oop Layup shot,drive_cut_or_roll,layup,789,0.0036001095090344953
2025-26,Cutting Dunk Shot,drive_cut_or_roll,dunk,3112,0.014199671472896514
2025-26,Cutting Finger Roll Layup Shot,drive_cut_or_roll,layup,645,0.00294305530206242
2025-26,Cutting Layup Shot,drive_cut_or_roll,layup,5217,0.023804526373425807
2025-26,Driving Bank Hook Shot,drive_cut_or_roll,hook,368,0.0016791385289286365
2025-26,Driving Dunk Shot,drive_cut_or_roll,dunk,2231,0.01017977733162986
2025-26,Driving Finger Roll Layup Shot,drive_cut_or_roll,layup,5814,0.026528563606497538
2025-26,Driving Floating Bank Jump Shot,drive_cut_or_roll,floater,3331,0.015198941412666546
2025-26,Driving Floating Jump Shot,drive_cut_or_roll,floater,12697,0.05793484212447527
2025-26,Driving Hook Shot,drive_cut_or_roll,hook,1796,0.008194926081401715
2025-26,Driving Layup Shot,drive_cut_or_roll,layup,19826,0.09046358824603029
2025-26,Driving Reverse Dunk Shot,drive_cut_or_roll,dunk,38,1.7338930461763095e-4
2025-26,Driving Reverse Layup Shot,drive_cut_or_roll,layup,2084,0.009509034495345866
2025-26,Dunk Shot,other_or_unknown,dunk,1162,0.005302062420149662
2025-26,Fadeaway Bank shot,other_or_unknown,fadeaway_or_turnaround,147,6.707428362839934e-4
2025-26,Fadeaway Jump Shot,other_or_unknown,fadeaway_or_turnaround,4083,0.018630224493520715
2025-26,Finger Roll Layup Shot,other_or_unknown,layup,275,0.0012547910202591714
2025-26,Floating Jump shot,other_or_unknown,floater,3091,0.014103851067713086
2025-26,Hook Bank Shot,other_or_unknown,hook,82,3.7415586785909837e-4
2025-26,Hook Shot,other_or_unknown,hook,979,0.0044670560321226505
2025-26,Jump Bank Shot,other_or_unknown,regular_jumper,370,0.0016882642818032488
2025-26,Jump Shot,other_or_unknown,regular_jumper,64237,0.2931054937032305
2025-26,Layup Shot,other_or_unknown,layup,3149,0.014368497901076839
2025-26,Pullup Jump shot,pull_up_or_self_created,regular_jumper,26228,0.11967512319766381
2025-26,Putback Dunk Shot,putback,dunk,515,0.00234988136521263
2025-26,Putback Layup Shot,putback,layup,3871,0.017662894688811825
2025-26,Reverse Dunk Shot,other_or_unknown,dunk,82,3.7415586785909837e-4
2025-26,Reverse Layup Shot,other_or_unknown,layup,1076,0.00490965504654134
2025-26,Running Alley Oop Dunk Shot,drive_cut_or_roll,dunk,706,0.0032213907647380908
2025-26,Running Alley Oop Layup Shot,drive_cut_or_roll,layup,240,0.0010950903449534588
2025-26,Running Dunk Shot,other_or_unknown,dunk,3067,0.013994342033217741
2025-26,Running Finger Roll Layup Shot,other_or_unknown,layup,1589,0.007250410658879358
2025-26,Running Jump Shot,other_or_unknown,regular_jumper,6485,0.029590253695929915
2025-26,Running Layup Shot,other_or_unknown,layup,7892,0.036010220843219566
2025-26,Running Pull-Up Jump Shot,pull_up_or_self_created,regular_jumper,3437,0.01568260631502099
2025-26,Running Reverse Dunk Shot,other_or_unknown,dunk,39,1.7795218105493704e-4
2025-26,Running Reverse Layup Shot,other_or_unknown,layup,616,0.002810731885380544
2025-26,Step Back Bank Jump Shot,pull_up_or_self_created,step_back,65,2.9658696842489507e-4
2025-26,Step Back Jump shot,pull_up_or_self_created,step_back,11301,0.05156506661799599
2025-26,Tip Dunk Shot,putback,dunk,830,0.0037871874429640444
2025-26,Tip Layup Shot,putback,layup,4699,0.021440956378901258
2025-26,Turnaround Bank Hook Shot,other_or_unknown,hook,213,9.718926811461946e-4
2025-26,Turnaround Bank shot,other_or_unknown,fadeaway_or_turnaround,305,0.0013916773133783537
2025-26,Turnaround Fadeaway Bank Jump Shot,other_or_unknown,fadeaway_or_turnaround,124,5.657966782259536e-4
2025-26,Turnaround Fadeaway shot,other_or_unknown,fadeaway_or_turnaround,3484,0.015897061507574375
2025-26,Turnaround Hook Shot,other_or_unknown,hook,2243,0.010234531848877532
2025-26,Turnaround Jump Shot,other_or_unknown,fadeaway_or_turnaround,2838,0.01294944332907465
