season,type_text,events,share
2023-24,Ref-Initiated Review (Overturned),185,3.218813180083028e-4
2023-24,Ref-Initiated Review (Stands),161,2.801237416180365e-4
2023-24,Ref-Initiated Review (Supported),621,0.0010804772890981407
2023-24,Reverse Dunk Shot,128,2.2270707408142033e-4
2023-24,Reverse Layup Shot,1259,0.0021905328614727202
2023-24,Running Alley Oop Dunk Shot,554,9.639040550086473e-4
2023-24,Running Alley Oop Layup Shot,187,3.25361116040825e-4
2023-24,Running Dunk Shot,2746,0.00477776269865297
2023-24,Running Finger Roll Layup,1718,0.0029891465099365633
2023-24,Running Jump Shot,5750,0.010004419343501303
2023-24,Running Layup Shot,7196,0.012520313321014848
2023-24,Running Pullup Jump Shot,2946,0.005125742501905189
2023-24,Running Reverse Dunk Shot,35,6.0896465569138364e-5
2023-24,Shooting Foul,24185,0.04207945770827461
2023-24,Shot Clock Turnover,1622,0.0028221162043754982
2023-24,Step Back Bank Jump Shot,83,1.44411618349671e-4
2023-24,Step Back Jump Shot,11042,0.019211964937555025
2023-24,Substitution,67680,0.11775636542055098
2023-24,Swinging Elbows Turnover,1,1.7398990162610963e-6
2023-24,Technical Foul,772,0.0013432020405535663
2023-24,Tip Dunk Shot,838,0.0014580353756267986
2023-24,Tip Shot,4681,0.008144467295118191
2023-24,Too Many Players Technical,1,1.7398990162610963e-6
2023-24,Transition Take Foul,151,2.6272475145542554e-4
2023-24,Traveling,1837,0.0031961944928716336
2023-24,Turnaround Bank Jump Shot,361,6.281035448702558e-4
2023-24,Turnaround Fade Away Jump Shot,3519,0.006122704638222797
2023-24,Turnaround Fadeaway Bank Jump Shot,109,1.8964899277245948e-4
2023-24,Turnaround Hook Shot,2391,0.004160098547880281
2023-24,Turnaround Jump Shot,2929,0.005096164218628751
2024-25,3-Second Turnover,114,1.9588133714786463e-4
2024-25,5-Second Back to the Basket Turnover,2,3.436514686804643e-6
2024-25,5-Second Turnover,63,1.0825021263434625e-4
2024-25,8-Second Turnover,62,1.0653195529094392e-4
2024-25,Alley Oop Dunk Shot,1794,0.0030825536740637645
2024-25,Alley Oop Layup Shot,774,0.0013299311837933966
2024-25,Away from Play Foul,101,1.7354399168363445e-4
2024-25,Back Court Turnover,262,4.501834239714082e-4
2024-25,"Bad Pass
Turnover",12690,0.02180468568777546
2024-25,Basket from Below Turnover,3,5.154772030206964e-6
2024-25,Challenge,337,5.790527247265823e-4
2024-25,Clear Path Foul,18,3.092863218124178e-5
2024-25,Coach's Challenge (Overturned),1088,0.0018694639896217257
2024-25,Coach's Challenge (Stands),320,5.498423498887428e-4
2024-25,Coach's Challenge (Supported),238,4.089452477297525e-4
2024-25,Coach's Challenge (replaycenter),176,3.0241329243880854e-4
2024-25,Cutting Dunk Shot,3305,0.0056788405199446725
2024-25,Cutting Finger Roll Layup Shot,747,0.001283538235521534
2024-25,Cutting Layup Shot,5809,0.009981356907824085
2024-25,Defensive 3-Seconds Technical,304,5.223502323943057e-4
2024-25,Defensive Goaltending,576,9.89716229799737e-4
2024-25,Defensive Rebound,86969,0.14943512289835648
2024-25,Delay Technical,34,5.842074967567893e-5
2024-25,Delay of Game,515,8.849025318521956e-4
2024-25,Disc Dribble Turnover,42,7.21668084228975e-5
2024-25,Double Dribble Turnover,77,1.3230581544197874e-4
2024-25,Double Lane,8,1.3746058747218572e-5
2024-25,Double Personal Foul,18,3.092863218124178e-5
2024-25,Double Technical Foul,93,1.5979793293641588e-4
2024-25,Driving Dunk Shot,1993,0.0034244868854008265
2024-25,Driving Finger Roll Layup,6042,0.010381710868836826
2024-25,Driving Floating Bank Jump Shot,3326,0.005714923924156121
2024-25,Driving Floating Jump Shot,13418,0.023055577033772347
2024-25,Driving Hook Shot,1711,0.0029399383145613718
2024-25,Driving Jump Shot Bank,346,5.945170408172032e-4
2024-25,Driving Layup Shot,18940,0.03254379408403996
2024-25,Driving Reverse Dunk Shot,46,7.903983779650678e-5
2024-25,Dunk Shot,1106,0.0019003926218029675
2024-25,Ejection,89,1.529249035628066e-4
2024-25,End Game,1231,0.0021151747897282577
2024-25,End Period,4991,0.008575822400920986
2024-25,Excess Timeout Technical,3,5.154772030206964e-6
2024-25,Excess Timeout Turnover,3,5.154772030206964e-6
2024-25,Fade Away Bank Jump Shot,192,3.299054099332457e-4
2024-25,Fade Away Jump Shot,3915,0.006726977499420088
2024-25,Finger Roll Layup,283,4.8626682818285694e-4
2024-25,Flagrant Foul Type 1,129,2.2165519729889946e-4
2024-25,Flagrant Foul Type 2,19,3.264688952464411e-5
2024-25,Floating Jump Shot,3703,0.006362706942618796
2024-25,Flopping Technical,17,2.9210374837839465e-5
2024-25,Free Throw - 1 of 1,5813,0.009988229937197694
2024-25,Free Throw - 1 of 2,21851,0.03754564121068413
2024-25,Free Throw - 1 of 3,816,0.0014020979922162943
2024-25,Free Throw - 2 of 2,21845,0.03753533166662371
2024-25,Free Throw - 2 of 3,815,0.001400379734872892
2024-25,Free Throw - 3 of 3,815,0.001400379734872892
2024-25,Free Throw - Clear Path 1 of 2,18,3.092863218124178e-5
2024-25,Free Throw - Clear Path 2 of 2,18,3.092863218124178e-5
2024-25,Free Throw - Flagrant 1 of 1,18,3.092863218124178e-5
2024-25,Free Throw - Flagrant 1 of 2,104,1.786987637138414e-4
2024-25,Free Throw - Flagrant 1 of 3,25,4.2956433585058035e-5
2024-25,Free Throw - Flagrant 2 of 2,104,1.786987637138414e-4
2024-25,Free Throw - Flagrant 2 of 3,25,4.2956433585058035e-5
2024-25,Free Throw - Flagrant 3 of 3,25,4.2956433585058035e-5
2024-25,Free Throw - Technical,1066,0.0018316623280668746
2024-25,Full Timeout,13349,0.022937017277077587
2024-25,Hanging Technical Foul,11,1.8900830777425534e-5
2024-25,Hook Driving Bank,318,5.464058352019382e-4
2024-25,Hook Shot,1251,0.002149539936596304
2024-25,Hook Shot Bank,102,1.752622490270368e-4
2024-25,Hook Turnaround Bank,240,4.123817624165571e-4
2024-25,Illegal Assist Turnover,10,1.7182573434023213e-5
2024-25,Inbound Turnover,26,4.467469092846035e-5
2024-25,Jump Ball,9,1.546431609062089e-5
2024-25,Jump Shot,63222,0.10863166576458157
2024-25,Jump Shot Bank,374,6.426282464324682e-4
2024-25,Jumpball,2204,0.0037870391848587163
2024-25,Jumpball Violation Turnover,1,1.7182573434023215e-6
2024-25,Kicked Ball,960,0.0016495270496662284
2024-25,Kicked Ball Turnover,44,7.560332310970214e-5
2024-25,Lane,47,8.075809513990911e-5
2024-25,Lane Violation Turnover,8,1.3746058747218572e-5
